row_number,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,section,in_person_classes,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
79,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, STOR 155",1-2 years,No,Yes,High school course (IB or other),2-6 months,"Python, Java / C#",In-Person,,3 to 5 hours,3 to 5 hours,3,3,2,5,6,0,7,6,6,5,,,5,4,4,5,6,7,7
80,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",1-2 years,No,No,High school course (IB or other),1 month or so,"Python, Java / C#",In-Person,,0 to 2 hours,0 to 2 hours,7,7,7,7,7,0,7,7,7,7,,,,4,4,6,6,7,6
81,22,Incoming Transfer Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,No,3 to 5 hours,3 to 5 hours,4,3,1,7,6,1,6,1,6,1,7,7,7,3,2,7,7,6,1
82,24,Incoming Transfer Student,Yes - BA,Computer Science,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,7,7,7,7,4,1,6,5,6,4,7,4,6,5,4,4,6,7,7
83,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231, MATH 232",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, BASIC",Remote,Yes,0 to 2 hours,5 to 10 hours,6,7,7,7,7,0,7,7,7,7,,,,4,4,7,7,7,7
84,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 129P,2-6 months,No,No,N/A,1 month or so,"Python, C / C++, JavaScript / TypeScript, HTML / CSS",In-Person,,0 to 2 hours,3 to 5 hours,4,5,4,6,6,2,6,6,7,5,,,5,3,5,5,6,6,7
85,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,6,4,4,5,4,1,6,5,5,5,4,5,6,4,6,3,4,5,5
86,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",2-6 months,No,No,On-line course,1 month or so,"Python, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,1,7,6,4,6,0,3,2,7,4,4,7,4,4,6,6,7,7,6
87,24,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 130, STOR 155",7-12 months,No,No,Another college or community college,None to less than one month!,"Python, Java / C#, HTML / CSS",In-Person,,3 to 5 hours,0 to 2 hours,7,4,4,7,6,1,6,5,7,6,7,,,4,2,7,7,7,7
88,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,6,1,1,7,7,1,7,7,7,7,7,7,7,4,4,5,7,7,7
89,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,1,6,2,1,6,1,4,5,7,3,4,,,7,7,3,7,7,3
90,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231, MATH 232, MATH 233",2-6 months,No,No,High school course (IB or other),7-12 months,"Python, Java / C#, C / C++, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,5,5,3,6,6,1,4,6,6,4,4,4,4,4,4,4,4,4,7
91,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",2-6 months,No,No,Self-studied using various sources online,2-6 months,"Python, C / C++",In-Person,,3 to 5 hours,10+ hours,5,1,1,5,7,0,7,7,7,7,7,,7,2,1,7,7,7,7
92,24,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 130, MATH 231, PSYC 210",None to less than one month!,,,,,,In-Person,,10+ hours,5 to 10 hours,5,7,7,7,6,2,5,6,7,4,5,,,5,4,3,7,7,6
93,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,5 to 10 hours,2,7,7,7,1,2,5,1,7,1,3,3,3,7,7,1,5,7,3
94,24,Returning UNC Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 120, STOR 155",2-6 months,No,No,UNC,None to less than one month!,Python,In-Person,,3 to 5 hours,5 to 10 hours,1,3,2,2,3,3,7,5,7,7,7,,7,6,5,4,7,7,6
95,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, PHIL 155",7-12 months,No,No,Another college or community college,None to less than one month!,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS, SQL, Bash",In-Person,,5 to 10 hours,0 to 2 hours,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,4
96,23,Returning UNC Student,Yes - BA,Computer Science,No,MATH 231,7-12 months,Yes,Yes,On-line course,7-12 months,Python,In-Person,,0 to 2 hours,0 to 2 hours,6,6,5,7,4,5,7,6,7,7,5,7,6,6,4,4,6,7,6
97,24,Returning UNC Student,Yes - BA,Computer Science,No,MATH 129P,None to less than one month!,,,,,,In-Person,,10+ hours,10+ hours,1,1,1,4,5,3,4,5,1,4,,,,6,6,3,6,6,6
98,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233",2-6 months,Yes,No,High school course (IB or other),7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,7,7,7,5,7,0,7,7,7,7,,,,4,3,5,7,7,7
99,23,Incoming Transfer Student,Yes - BA,Computer Science,Yes,"MATH 130, MATH 231, STOR 151",7-12 months,Yes,No,High school course (IB or other),7-12 months,"Python, Java / C#, C / C++, HTML / CSS, SQL",Remote,Yes,5 to 10 hours,3 to 5 hours,2,3,2,5,7,0,5,4,7,3,,,6,5,3,7,7,7,6
100,25,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,3,3,4,7,4,1,5,6,6,5,,3,5,6,5,3,6,6,4
101,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,1,3,3,3,1,0,6,3,7,5,4,4,4,5,4,5,7,7,6
102,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 130, MATH 231",2-6 months,No,Yes,High school course (IB or other),None to less than one month!,Java / C#,In-Person,,3 to 5 hours,5 to 10 hours,4,3,1,7,2,0,4,3,5,5,,,,4,4,5,5,5,5
103,24,Returning UNC Student,Yes - BA,Computer Science,Yes,"MATH 231, STOR 155",2-6 months,No,No,None ,1 month or so,Python,In-Person,,3 to 5 hours,3 to 5 hours,5,3,2,4,4,1,5,6,5,5,4,5,5,3,3,5,6,7,7
104,24,Incoming Transfer Student,Yes - BS,Computer Science,No,MATH 231,None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,3,7,1,1,5,0,5,7,7,4,7,7,7,6,5,1,7,7,7
105,25,First-year Student,Yes - BA,Computer Science,Maybe,MATH 129P,1-2 years,No,No,High school course (IB or other),2-6 months,Java / C#,Remote,Yes,0 to 2 hours,3 to 5 hours,7,7,6,6,5,2,7,7,7,7,6,,6,6,4,6,7,7,7
106,23,Incoming Transfer Student,Yes - BA,Computer Science,No,"MATH 130, MATH 231, STOR 120",2-6 months,No,No,On-line course,2-6 months,"Python, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,5,6,5,7,4,1,5,4,6,4,7,,6,6,6,4,7,7,7
107,23,Returning UNC Student,Yes - BA,Computer Science,No,MATH 129P,2-6 months,No,No,UNC,None to less than one month!,Python,Remote,No,0 to 2 hours,3 to 5 hours,5,3,3,5,5,0,6,6,6,4,4,5,5,5,5,3,6,6,6
108,25,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, HTML / CSS",Remote,Yes,5 to 10 hours,5 to 10 hours,4,1,1,7,2,0,7,5,5,4,,,,5,4,5,6,7,6
109,23,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 130, MATH 231",2-6 months,No,No,Another college or community college,1 month or so,Python,Remote,Yes,0 to 2 hours,3 to 5 hours,4,5,5,5,5,1,6,4,7,4,7,7,,4,4,5,6,5,6
110,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,2,5,3,7,7,0,7,7,7,6,,,7,5,6,5,7,7,6
111,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 130, MATH 152",None to less than one month!,,,,,,Remote,Yes,10+ hours,3 to 5 hours,6,7,7,7,6,2,4,7,6,6,6,,5,4,5,5,6,7,6
112,23,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 381",2-6 months,No,No,Another college or community college,2-6 months,Python,In-Person,,3 to 5 hours,3 to 5 hours,6,4,4,3,4,1,4,5,7,4,7,4,4,5,4,5,7,7,6
113,25,Incoming Transfer Student,Yes - BS,Computer Science,Maybe,MATH 130,2-6 months,No,No,High school course (IB or other),2-6 months,"Python, C / C++",Remote,Yes,5 to 10 hours,5 to 10 hours,5,7,7,7,5,2,3,2,6,4,6,4,5,4,4,5,6,7,7
114,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 231",7-12 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",In-Person,,3 to 5 hours,3 to 5 hours,4,3,3,4,3,1,5,5,6,5,,,,5,5,5,5,6,6
115,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,3,5,1,7,6,1,6,7,7,7,7,,,6,5,7,7,7,7
116,24,Incoming Transfer Student,Yes - BS,Computer Science,Maybe,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, MATH 381",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,3 to 5 hours,2,6,6,7,5,1,5,3,6,4,4,5,7,4,6,5,7,7,7
117,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 151",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,10+ hours,5,7,7,5,5,0,7,7,7,7,,,,5,4,5,7,7,7
118,24,Returning UNC Student,No,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,7,4,3,7,3,1,6,6,6,7,7,,7,5,5,4,4,6,5
119,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, MATH 381, STOR 155",Over 2 years,No,No,Another college or community college,2-6 months,"Python, Java / C#, C / C++, R / Matlab / SAS",Remote,Yes,3 to 5 hours,5 to 10 hours,7,3,1,4,7,1,7,6,7,7,7,7,,4,3,6,7,7,7
0,23,Returning UNC Student,Yes - Minor,Economics,Maybe,MATH 231,None to less than one month!,,,,,,In-Person,,0 to 2 hours,10+ hours,5,1,1,4,7,2,4,2,7,6,6,4,7,6,6,6,7,7,7
1,25,Incoming First-year Student,Yes - BA,Economics,No,"MATH 129P, MATH 231",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,3 to 5 hours,4,4,2,7,4,0,7,7,6,6,,,7,5,5,5,6,6,6
2,22,Returning UNC Student,No,Economics,No,"MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,10+ hours,6,3,1,7,4,2,5,3,5,2,,,6,7,6,4,3,4,3
3,23,Returning UNC Student,No,Economics,No,"MATH 231, MATH 232, STOR 155",2-6 months,No,Yes,High school course (IB or other),None to less than one month!,Java / C#,In-Person,,10+ hours,5 to 10 hours,7,1,1,7,6,0,4,5,7,7,,,,5,3,7,7,7,7
4,24,Returning UNC Student,No,Economics,Maybe,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4
5,22,Returning UNC Student,No,Economics,No,"MATH 130, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, JavaScript / TypeScript",In-Person,,3 to 5 hours,3 to 5 hours,2,2,1,3,3,0,6,6,6,5,,,,4,3,6,5,6,7
6,23,Returning UNC Student,No,Economics,No,MATH 231,None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,7,7,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,2,6
7,23,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 113, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,6,6,6,6,6,4,5,4,6,5,4,6,5,6,5,4,5,5,5
8,24,Returning UNC Student,No,Economics,Maybe,"MATH 231, MATH 232, MATH 233, MATH 347 for Applications, MATH 381, PSYC 215, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,5,5,5,7,7,4,6,6,6,7,,,,5,4,6,7,7,7
9,23,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,No,5 to 10 hours,5 to 10 hours,1,1,1,6,3,0,5,7,6,6,,,7,6,6,4,4,5,6
10,24,Returning UNC Student,No,Economics,No,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,6,4,3,6,5,1,6,6,6,5,6,,6,4,5,5,7,7,7
11,22,Returning UNC Student,No,Economics,No,"STOR 113, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,0 to 2 hours,5,1,1,6,4,3,5,5,5,5,5,5,5,5,5,4,5,7,7
12,24,Returning UNC Student,No,Economics,Maybe,"MATH 231, STOR 155",None to less than one month!,,,,,,,Yes,3 to 5 hours,5 to 10 hours,6,3,2,2,6,0,6,5,7,7,4,6,6,3,3,6,7,7,7
13,25,Incoming First-year Student,Yes - BA,Economics,No,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,,Yes,5 to 10 hours,3 to 5 hours,7,3,4,5,5,0,5,5,7,6,,,,2,2,6,5,7,7
14,22,Returning UNC Student,No,Economics,No,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS, Stata",In-Person,,3 to 5 hours,0 to 2 hours,7,4,3,7,2,1,6,5,6,5,7,4,4,5,4,5,5,6,5
15,22,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 231, MATH 232, MATH 381, STOR 155",2-6 months,No,No,UNC,1 month or so,"Python, R / Matlab / SAS, HTML / CSS",In-Person,,5 to 10 hours,3 to 5 hours,1,3,3,7,3,0,4,4,3,3,,,,5,5,5,6,6,4
16,23,Incoming Transfer Student,No,Economics,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,4,4,6,4,5,5,5,5,5,6,6,5,7,7,2,5,6,6
17,24,Returning UNC Student,No,Economics,Yes,"MATH 129P, MATH 152, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,1,4,4,4,4,0,6,6,6,5,4,4,4,4,4,4,4,4,7
18,22,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 231, PHIL 155, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,1,1,6,4,1,7,6,5,5,7,,,5,5,4,4,6,4
19,23,Incoming Transfer Student,No,Economics,Maybe,"MATH 231, STOR 151",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,7,6,6,7,5,5,6,7,5,6,7,6,5,5,6,4,7,7,6
20,23,Returning UNC Student,No,Economics,Yes,"MATH 130, STOR 113, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,4,3,2,6,3,1,5,5,5,5,4,,,5,5,5,6,7,5
21,24,Returning UNC Student,Yes - BA,Economics,No,"MATH 130, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,On-line course,2-6 months,"Python, C / C++, BASIC, SQL",In-Person,,3 to 5 hours,3 to 5 hours,5,1,2,6,3,1,3,5,6,6,5,,,3,2,7,6,6,7
22,23,Incoming Transfer Student,No,Economics,No,MATH 231,None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,3 to 5 hours,3,4,5,2,5,2,5,4,5,5,,,,6,5,3,5,5,4
23,23,Incoming Transfer Student,No,Economics,Yes,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,Python,In-Person,,3 to 5 hours,3 to 5 hours,4,3,3,4,5,2,5,5,5,5,6,5,5,6,6,3,5,6,6
24,23,Incoming Transfer Student,No,Economics,No,"MATH 231, MATH 232, PHIL 155, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,7,7
25,23,Incoming Transfer Student,No,Economics,Yes,"MATH 129P, MATH 130, MATH 231, STOR 120",2-6 months,No,No,On-line course,None to less than one month!,None/Maybe a tiny bit of JavaScript,In-Person,,10+ hours,10+ hours,3,5,5,6,3,5,4,2,3,1,6,,4,7,7,3,5,6,7
26,24,Returning UNC Student,No,Economics,Maybe,MATH 231,None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,5 to 10 hours,3,5,4,6,4,0,3,4,5,5,,,5,5,4,4,4,6,6
27,23,Returning UNC Student,No,Economics,Yes,"STOR 113, STOR 155",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,5 to 10 hours,1,7,7,7,2,3,5,2,5,1,6,7,1,7,7,1,7,7,1
28,24,Incoming Transfer Student,Yes - Minor,Economics,No,"MATH 129P, MATH 231, MATH 347 for Applications, STOR 155",2-6 months,No,No,Another college or community college,None to less than one month!,Python,Remote,No,3 to 5 hours,3 to 5 hours,2,1,1,7,6,0,7,7,7,7,,,5,5,5,7,5,6,7
29,25,Incoming First-year Student,No,Economics,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,Yes,No,On-line course,None to less than one month!,"Python, Java / C#, C / C++, HTML / CSS",Remote,Yes,3 to 5 hours,5 to 10 hours,7,1,1,5,7,0,7,7,7,7,,,7,5,5,5,5,6,6
30,23,Returning UNC Student,No,Economics,No,"MATH 231, MATH 232, STOR 120",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",In-Person,,0 to 2 hours,0 to 2 hours,7,3,3,6,3,2,7,7,6,6,4,4,7,5,5,3,5,5,5
31,24,Returning UNC Student,No,Economics,Yes,"MATH 129P, MATH 130, MATH 231, STOR 151, STOR 155",None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,5,1,1,5,3,2,6,6,6,2,,,,6,4,5,4,4,5
32,23,Incoming Transfer Student,No,Economics,No,"MATH 231, STOR 120",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,6,6,6,7,3,5,7,7,5,7,7,7,5,6,5,4,7,7,6
33,23,Returning UNC Student,Yes - Minor,Economics,No,PHIL 155,None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,3,7,7,6,5,2,7,2,6,1,7,,,6,6,4,6,7,6
34,22,Returning UNC Student,No,Economics,No,"MATH 152, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, STOR 155",2-6 months,No,No,No,None to less than one month!,STATA,In-Person,,0 to 2 hours,10+ hours,4,1,1,7,6,0,5,6,6,3,6,,,6,5,3,5,5,4
35,24,Returning UNC Student,No,Economics,No,"MATH 233, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,7,7,7,7,6,0,7,6,7,7,4,4,4,4,3,5,7,7,7
36,24,Returning UNC Student,Yes - Minor,Economics,Maybe,"MATH 129P, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,2,5,4,4,2,2,2,3,6,6,4,4,5,6,6,3,6,5,6
37,23,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,4,3,5,5,5,1,3,4,5,1,3,4,5,7,7,1,5,6,1
38,23,Returning UNC Student,No,Economics,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 231, STOR 155",7-12 months,No,No,UNC,None to less than one month!,"Python, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,4,7,7,5,5,2,3,2,6,5,5,,5,4,4,4,5,7,5
39,24,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,no,2-6 months,Python,In-Person,,0 to 2 hours,3 to 5 hours,2,3,1,7,3,0,7,3,3,6,,,7,5,4,4,6,6,6
40,24,Returning UNC Student,Yes - BS,Economics,Maybe,"MATH 231, MATH 232, STOR 151, STOR 155",1-2 years,Yes,Yes,No,None to less than one month!,"Java / C#, JavaScript / TypeScript",In-Person,,3 to 5 hours,10+ hours,3,4,1,4,4,0,4,7,7,7,,,,4,3,6,4,6,4
41,24,Incoming Transfer Student,No,Economics,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,10+ hours,3,1,1,7,6,1,6,6,7,6,2,5,7,6,7,4,6,5,2
42,24,Returning UNC Student,No,English,No,"MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,3,3,3,6,5,1,3,4,4,5,4,5,6,6,5,4,5,5,4
43,24,Returning UNC Student,No,English,No,MATH 130,None to less than one month!,,,,,,Remote,No,3 to 5 hours,5 to 10 hours,4,1,1,7,7,2,7,5,6,6,,,6,5,5,5,7,7,7
44,24,Returning UNC Student,No,English,No,MATH 129P,None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,10+ hours,6,5,4,7,6,2,3,3,2,1,6,5,,6,7,2,4,4,2
45,24,Returning UNC Student,No,Environmental Science,No,"MATH 129P, MATH 231, MATH 232",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Java / C#,Remote,Yes,3 to 5 hours,3 to 5 hours,1,1,1,4,4,2,7,7,7,7,7,,6,4,5,5,6,6,7
46,23,Returning UNC Student,No,Environmental Science,No,"MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,5,1,1,6,2,2,6,3,6,3,6,6,6,6,6,2,4,6,5
47,23,Returning UNC Student,No,Environmental Science,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,5 to 10 hours,5,4,4,7,5,2,5,6,6,5,7,,4,5,7,3,7,6,6
48,24,Returning UNC Student,No,Environmental Science,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,2,1,6,2,1,6,5,7,6,7,7,7,6,6,4,7,7,4
49,24,Returning UNC Student,No,Environmental Science,Maybe,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,0 to 2 hours,5,2,1,7,5,0,5,3,6,6,4,,6,4,4,5,5,5,7
50,24,Returning UNC Student,No,Environmental Science,Maybe,"MATH 129P, STOR 151",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,7,4,4,6,6,0,5,3,4,2,,,,5,5,4,7,7,5
51,24,Returning UNC Student,No,Environmental Science,No,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,6,2,2,6,3,4,6,4,4,5,7,3,7,7,5,5,4,3,5
52,22,Returning UNC Student,No,Environmental Science,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,5,4,4,6,5,2,3,4,4,4,5,4,4,6,6,4,6,6,4
53,24,Returning UNC Student,No,Environmental Science,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,4,2,2,7,4,1,5,5,6,4,,,6,5,5,3,6,2,6
54,23,Returning UNC Student,No,Environmental Science,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,7,5,5,6,2,2,3,2,5,6,6,,7,5,5,5,5,5,4
55,24,Returning UNC Student,No,Environmental Science,No,"MATH 232, STOR 151",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,6,6,6,7,3,1,5,5,4,5,6,,,6,4,3,5,4,4
56,24,Returning UNC Student,No,Environmental Science,No,MATH 231,None to less than one month!,,,,,,In-Person,,0 to 2 hours,0 to 2 hours,6,4,3,7,4,1,6,6,6,5,6,4,4,6,6,4,4,2,4
57,24,Returning UNC Student,No,Environmental Science,No,"MATH 129P, MATH 231",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,1,1,1,7,4,1,5,4,6,4,5,5,6,5,6,4,5,7,5
58,23,Returning UNC Student,No,Environmental Science,No,"MATH 129P, MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,1,1,1,7,3,0,7,5,7,6,,,,4,5,4,6,6,6
59,23,Returning UNC Student,No,Environmental Science ,No,"MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,10+ hours,1,1,1,7,5,1,7,7,7,7,7,,7,5,5,5,5,6,7
60,23,Returning UNC Student,No,Environmental Science ,No,"MATH 231, MATH 232",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,5,2,3,6,3,2,5,6,6,5,7,,,5,5,4,5,5,4
61,24,Returning UNC Student,No,Environmental Science ,Maybe,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,3 to 5 hours,7,7,7,7,2,2,7,6,6,6,7,7,5,7,6,4,2,5,6
62,22,Returning UNC Student,No,Environmental Science ,No,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, PSYC 210, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,5,5,4,7,6,2,4,5,4,6,6,,,7,7,4,4,4,3
63,22,Returning UNC Student,No,Environmental Science ,No,"MATH 231, MATH 232",2-6 months,No,No,UNC,None to less than one month!,R / Matlab / SAS,Remote,Yes,5 to 10 hours,3 to 5 hours,5,2,2,6,7,1,6,5,6,4,7,,,6,5,4,5,6,5
64,24,Returning UNC Student,No,Environmental Science ,No,MATH 231,None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,3,5,1,5,5,1,6,3,7,3,7,,5,7,5,3,6,2,5
65,24,Returning UNC Student,Yes - Minor,Environmental Science ,No,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",2-6 months,No,No,On-line course,None to less than one month!,Python,In-Person,,3 to 5 hours,3 to 5 hours,5,4,3,7,2,0,6,5,6,6,,,,4,3,6,7,7,6
